f.id,f.label,f.anchor,f.anchor_type,f.rank
row-kitchen,row-kitchen,window3,Reference,3
bookcase-storage,bookcase-storage,kitchen-wall,Reference,3
tv-stand,tv-stand,door,Reference,3
6-seat-dining-table,6-seat-dining-table,door,Reference,3
armchair,armchair,facade-corner,Reference,3
3-seater-sofa,3-seater-sofa,window0,Reference,3
coffee-table-S,coffee-table-S,facade-corner,Reference,3
row-kitchen,row-kitchen,door,Reference,3
coffee-table-L,coffee-table-L,facade-corner,Reference,3
6-seat-dining-table,6-seat-dining-table,door,Reference,3
tv-stand,tv-stand,door,Reference,3
armchair,armchair,door,Reference,3
3-seater-sofa,3-seater-sofa,door,Reference,3
coffee-table-S,coffee-table-S,door,Reference,3
corner-kitchen-L2,corner-kitchen-L2,facade-corner,Reference,3
tv-stand,tv-stand,facade-corner,Reference,3
corner-sofa-RH,corner-sofa-RH,door,Reference,3
armchair,armchair,facade-corner,Reference,3
coffee-table-SQ,coffee-table-SQ,door,Reference,3
6-seat-dining-table,6-seat-dining-table,kitchen-wall,Reference,3
row-kitchen,row-kitchen,door,Reference,3
tv-stand,tv-stand,door,Reference,3
coffee-table-SQ,coffee-table-SQ,window1,Reference,3
armchair,armchair,window1,Reference,3
corner-sofa-LH,corner-sofa-LH,window0,Reference,3
6-seat-dining-table,6-seat-dining-table,door,Reference,3
row-kitchen-L,row-kitchen-L,door,Reference,3
kitchen-island-stove,kitchen-island-stove,window1,Reference,3
tv-stand,tv-stand,door,Reference,3
6-seat-dining-table,6-seat-dining-table,window1,Reference,3
coffee-table-L,coffee-table-L,door,Reference,3
3-seater-sofa,3-seater-sofa,door,Reference,3
3-seater-sofa,3-seater-sofa,facade-corner,Reference,3
row-kitchen,row-kitchen,door,Reference,3
armchair,armchair,window0,Reference,3
coffee-table-SQ,coffee-table-SQ,window1,Reference,3
corner-sofa-LH,corner-sofa-LH,facade-corner,Reference,3
tv-stand,tv-stand,door,Reference,3
6-seat-dining-table,6-seat-dining-table,door,Reference,3
row-kitchen-L,row-kitchen-L,facade-corner,Reference,3
kitchen-island-stove,kitchen-island-stove,kitchen-wall,Reference,3
6-seat-dining-table,6-seat-dining-table,door,Reference,3
tv-stand,tv-stand,window1,Reference,3
armchair,armchair,window3,Reference,3
corner-sofa-LH,corner-sofa-LH,kitchen-wall,Reference,3
coffee-table-L,coffee-table-L,facade-corner,Reference,3
row-kitchen,row-kitchen,window1,Reference,3
4-seat-dining-table,4-seat-dining-table,window1,Reference,3
corner-sofa-RH,corner-sofa-RH,door,Reference,3
coffee-table-S,coffee-table-S,facade-corner,Reference,3
armchair,armchair,kitchen-wall,Reference,3
tv-stand,tv-stand,kitchen-wall,Reference,3
row-kitchen,row-kitchen,door,Reference,3
tv-stand,tv-stand,door,Reference,3
coffee-table-S,coffee-table-S,door,Reference,3
armchair,armchair,door,Reference,3
corner-sofa-RH,corner-sofa-RH,door,Reference,3
6-seat-dining-table,6-seat-dining-table,facade-corner,Reference,3
corner-kitchen-L2,corner-kitchen-L2,kitchen-wall,Reference,3
6-seat-dining-table,6-seat-dining-table,kitchen-wall,Reference,3
2-seater-sofa,2-seater-sofa,door,Reference,3
3-seater-sofa,3-seater-sofa,door,Reference,3
coffee-table-L,coffee-table-L,door,Reference,3
tv-stand,tv-stand,door,Reference,3
row-kitchen,row-kitchen,kitchen-wall,Reference,3
tv-stand,tv-stand,window1,Reference,3
6-seat-dining-table,6-seat-dining-table,door,Reference,3
desk-chair,desk-chair,door,Reference,3
armchair,armchair,facade-corner,Reference,3
corner-sofa-LH,corner-sofa-LH,door,Reference,3
coffee-table-L,coffee-table-L,window1,Reference,3
row-kitchen,row-kitchen,door,Reference,3
bookcase-storage,bookcase-storage,window0,Reference,3
6-seat-dining-table,6-seat-dining-table,door,Reference,3
corner-sofa-RH,corner-sofa-RH,kitchen-wall,Reference,3
armchair,armchair,door,Reference,3
coffee-table-SQ,coffee-table-SQ,door,Reference,3
tv-stand,tv-stand,door,Reference,3
shelving,shelving,kitchen-wall,Reference,3
row-kitchen-L,row-kitchen-L,window0,Reference,3
kitchen-island-stove,kitchen-island-stove,kitchen-wall,Reference,3
6-seat-dining-table,6-seat-dining-table,door,Reference,3
armchair,armchair,kitchen-wall,Reference,3
2-seater-sofa,2-seater-sofa,door,Reference,3
3-seater-sofa,3-seater-sofa,window1,Reference,3
coffee-table-L,coffee-table-L,facade-corner,Reference,3
row-kitchen-L,row-kitchen-L,window0,Reference,3
kitchen-island-stove,kitchen-island-stove,kitchen-wall,Reference,3
6-seat-dining-table,6-seat-dining-table,door,Reference,3
tv-stand,tv-stand,window1,Reference,3
armchair,armchair,window3,Reference,3
corner-sofa-LH,corner-sofa-LH,facade-corner,Reference,3
coffee-table-L,coffee-table-L,window1,Reference,3
shelving,shelving,door,Reference,3
shelving-S,shelving-S,door,Reference,3
row-kitchen-S,row-kitchen-S,door,Reference,3
kitchen-island-stove,kitchen-island-stove,door,Reference,3
2-seater-sofa,2-seater-sofa,door,Reference,3
3-seater-sofa,3-seater-sofa,kitchen-wall,Reference,3
coffee-table-L,coffee-table-L,facade-corner,Reference,3
6-seat-dining-table,6-seat-dining-table,kitchen-wall,Reference,3
tv-stand,tv-stand,window1,Reference,3
row-kitchen,row-kitchen,window0,Reference,3
tv-stand,tv-stand,window3,Reference,3
6-seat-dining-table,6-seat-dining-table,kitchen-wall,Reference,3
corner-sofa-RH,corner-sofa-RH,door,Reference,3
coffee-table-L,coffee-table-L,door,Reference,3
2-seater-sofa,2-seater-sofa,door,Reference,3
row-kitchen,row-kitchen,door,Reference,3
tv-stand,tv-stand,door,Reference,3
coffee-table-S,coffee-table-S,window1,Reference,3
armchair,armchair,facade-corner,Reference,3
corner-sofa-RH,corner-sofa-RH,window1,Reference,3
6-seat-dining-table,6-seat-dining-table,door,Reference,3
row-kitchen-L,row-kitchen-L,door,Reference,3
kitchen-island-stove,kitchen-island-stove,facade-corner,Reference,3
coffee-table-L,coffee-table-L,window1,Reference,3
3-seater-sofa,3-seater-sofa,facade-corner,Reference,3
armchair,armchair,door,Reference,3
armchair,armchair,door,Reference,3
tv-stand,tv-stand,facade-corner,Reference,3
6-seat-dining-table,6-seat-dining-table,door,Reference,3
corner-kitchen-L2,corner-kitchen-L2,kitchen-wall,Reference,3
2-seater-sofa,2-seater-sofa,window1,Reference,3
coffee-table-L,coffee-table-L,window1,Reference,3
corner-sofa-RH,corner-sofa-RH,door,Reference,3
6-seat-dining-table,6-seat-dining-table,window1,Reference,3
tv-stand,tv-stand,window2,Reference,3
row-kitchen,row-kitchen,door,Reference,3
tv-stand,tv-stand,door,Reference,3
coffee-table-SQ,coffee-table-SQ,door,Reference,3
armchair,armchair,window3,Reference,3
corner-sofa-RH,corner-sofa-RH,facade-corner,Reference,3
6-seat-dining-table,6-seat-dining-table,window0,Reference,3
